Date_Time	Data_Type	Process	 Fat	 SNF	Density	  Water	LTC	GSS		 
080623155859	D	MS	 4.84	 8.11	26.93	  4	27336	4
080623155958	D	MS	 4.72	 8.08	26.92	  4	27468	4
080623160211	D	MS	 4.78	 8.15	27.14	  3	27376	4
080623160329	D	MS	 3.54	 8.94	31.35	  0	27319	4
080623160433	D	MS	 4.73	 8.10	26.99	  4	27465	4
080623160642	D	MS	 6.67	 8.05	25.16	  5	27291	4
080623160848	D	MS	 4.16	 8.43	28.79	  0	27433	4
080623160938	D	MS	 5.27	 8.39	27.69	  1	27498	4
080623161203	D	MS	 5.96	 9.05	29.75	  0	27409	4
080623161321	D	MS	 5.20	 8.37	27.67	  1	27440	4
080623161406	D	MS	 4.70	 8.60	29.01	  0	27513	4
080623161627	D	MS	 4.79	 8.69	29.30	  0	27481	4
080623161713	D	MS	 5.20	 7.61	24.63	  9	27501	4
080623161800	D	MS	 5.72	 8.57	28.04	  0	27520	4
080623161848	D	MS	 5.12	 8.65	28.86	  0	27506	4
080623161934	D	MS	 6.23	 8.97	29.21	  0	27530	4
080623162026	D	MS	 4.33	 8.23	27.84	  2	27475	4
080623162112	D	MS	 6.51	 8.88	28.61	  0	27525	4
080623162233	D	MS	 5.06	 8.73	29.23	  0	27461	4
080623162345	D	MS	 4.12	 8.34	28.46	  1	27379	4
080623162448	D	MS	 4.24	 8.37	28.48	  1	27431	4
080623162544	D	MS	 4.01	 8.44	28.95	  0	27402	4
080623162632	D	MS	 3.31	 8.50	29.78	  0	27424	4
080623162730	D	MS	 5.49	 8.55	28.15	  0	27404	4
080623162816	D	MS	 4.42	 8.23	27.77	  2	27477	4
080623162903	D	MS	 5.77	 8.69	28.47	  0	27515	4
080623162957	D	MS	 5.56	 8.28	27.01	  2	27533	4
080623163046	D	MS	 4.17	 8.58	29.38	  0	27444	4
080623163230	D	MS	 4.55	 8.65	29.34	  0	27462	4
080623163440	D	MS	 4.98	 8.76	29.42	  0	27474	4
080623163538	D	MS	 4.09	 9.60	33.52	  0	27450	4
080623163635	D	MS	 5.45	 8.58	28.30	  0	27428	4
080623163736	D	MS	 5.38	 8.80	29.24	  0	27512	4
080623163841	D	MS	 4.46	 8.33	28.13	  1	27503	4
080623164043	D	MS	 6.62	 8.86	28.44	  0	27396	4
080623164128	D	MS	 5.92	 8.57	27.87	  0	27512	4
080623164216	D	MS	 4.45	 8.50	28.82	  0	27479	4
080623164308	D	MS	 5.17	 8.31	27.46	  2	27455	4
080623164406	D	MS	 4.95	 8.52	28.48	  0	27446	4
080623164511	D	MS	 4.53	 8.07	27.03	  4	27418	4
080623164603	D	MS	 5.14	 8.69	29.00	  0	27423	4
080623164711	D	MS	 6.15	 8.31	26.63	  2	27465	4
080623164826	D	MS	 5.07	 8.40	27.90	  1	27475	4
080623164911	D	MS	 5.20	 8.63	28.71	  0	27440	4
080623164958	D	MS	 5.56	 8.65	28.49	  0	27500	4
080623165047	D	MS	 3.91	 8.07	27.56	  4	27527	4
080623165142	D	MS	 4.85	 9.09	30.85	  0	27456	4
080623165241	D	MS	 5.66	 9.23	30.73	  0	27401	4
080623165339	D	MS	 5.64	 9.20	30.62	  0	27463	4
080623165419	D	MS	 5.62	 9.18	30.56	  0	27611	4
080623165621	D	MS	 5.72	 9.30	30.96	  0	27500	4
080623165707	D	MS	 4.60	 8.92	30.38	  0	27547	4
080623165750	D	MS	 6.15	 8.41	27.03	  1	27572	4
080623165840	D	MS	 3.48	 8.09	28.00	  4	27531	4
080623165937	D	MS	 5.44	 8.65	28.59	  0	27548	4
080623170033	D	MS	 5.69	 9.26	30.82	  0	27490	4
080623170121	D	MS	 3.64	 8.07	27.78	  4	27502	4
080623170450	D	MS	 4.94	 8.60	28.81	  0	27304	4
080623170727	D	MS	 4.47	 8.53	28.93	  0	27489	4
080623170908	D	MS	 4.96	 9.26	31.43	  0	27473	4
080623171028	D	MS	 6.66	 8.77	28.05	  0	27489	4
080623171212	D	MS	 6.68	 8.79	28.11	  0	27477	4
080623171259	D	MS	 4.65	 7.17	23.33	 14	27485	4
080623171351	D	MS	 4.70	 8.46	28.45	  0	27397	4
080623171523	D	MS	 5.41	 8.70	28.82	  0	27379	4
080623171740	D	MS	 6.48	 8.71	27.96	  0	27302	4
080623171854	D	MS	 5.08	 8.47	28.17	  0	27520	4
080623172007	D	MS	 5.61	 8.45	27.65	  1	27483	4
080623172053	D	MS	 4.29	 8.20	27.76	  3	27543	4
080623172143	D	MS	 5.39	 8.49	27.99	  0	27531	4
080623172308	D	MS	 4.89	 8.52	28.53	  0	27393	4
080623172505	D	MS	 6.44	 8.66	27.79	  0	27372	4
080623172929	D	MS	 5.33	 8.16	26.72	  4	27294	4
080623173225	D	MS	 0.00	 0.00	 0.00	100	27203	3
080623173414	D	CLN	 0.40	 2.02	 6.30	 71	27313	3
080623173920	C	25
080623180341	E	CLN	TOO_HIGH_FAT/SNF
080623180846	C	25
090623064846	D	MS	 3.42	 8.26	28.73	  2	27198	4
090623065857	D	MS	 4.62	 8.04	26.84	  5	27139	4
090623070346	D	MS	 4.61	 8.60	29.09	  0	27231	4
090623070736	D	MS	 4.17	 8.48	28.98	  0	27178	4
090623071117	D	MS	 3.74	 8.22	28.30	  2	27143	4
090623071659	D	MS	 4.49	 8.56	29.03	  0	27149	4
090623071905	D	MS	 3.48	 8.39	29.20	  0	27089	4
090623072045	D	MS	 3.15	 8.26	28.95	  2	27195	4
090623072336	D	MS	 3.18	 8.30	29.09	  1	27244	4
090623072440	D	MS	 3.53	 8.48	29.51	  0	27320	4
090623072645	D	MS	 4.51	 8.38	28.29	  1	27194	4
090623072834	D	MS	 5.93	 8.77	28.66	  0	27241	4
090623073058	D	MS	 4.47	 8.85	30.21	  0	27185	4
090623073231	D	MS	 3.55	 8.19	28.34	  3	27202	4
090623073328	D	MS	 4.90	 8.51	28.48	  0	27191	4
090623073433	D	MS	 3.35	 8.30	28.95	  1	27174	4
090623073522	D	MS	 4.47	 8.33	28.13	  1	27201	4
090623073648	D	MS	 5.07	 8.70	29.10	  0	27172	4
090623073753	D	MS	 3.38	 8.23	28.64	  2	27229	4
090623073920	D	MS	 3.57	 7.52	25.64	 10	27073	4
090623074108	D	MS	 4.20	 8.36	28.47	  1	27147	4
090623074211	D	MS	 3.76	 8.27	28.48	  2	27197	4
090623074423	D	MS	 3.26	 8.24	28.78	  2	27109	4
090623074545	D	MS	 3.61	 8.14	28.09	  3	27119	4
090623074806	D	MS	 3.65	 8.11	27.93	  4	27108	4
090623074857	D	MS	 4.05	 8.20	27.96	  3	27284	4
090623075300	D	MS	 3.97	 8.27	28.31	  2	27174	4
090623075706	D	MS	 3.08	 8.37	29.45	  1	27138	4
090623075812	D	MS	 4.36	 8.55	29.10	  0	27093	4
090623075952	D	MS	 4.79	 8.50	28.54	  0	27142	4
090623080103	D	MS	 3.62	 8.25	28.52	  2	27152	4
090623080258	D	MS	 3.90	 8.47	29.16	  0	27193	4
090623080413	D	MS	 4.79	 8.42	28.22	  1	27153	4
090623080539	D	MS	 3.73	 8.23	28.35	  2	27144	4
090623081139	D	MS	 4.43	 8.58	29.16	  0	27139	4
090623081307	D	MS	 4.45	 8.08	27.14	  4	27113	4
090623081648	D	MS	 3.05	 8.10	28.40	  3	27206	4
090623081828	D	MS	 3.33	 7.87	27.24	  6	27225	4
090623082048	D	MS	 4.01	 8.29	28.35	  2	27010	4
090623082147	D	MS	 4.58	 7.84	26.07	  7	27201	4
090623082317	D	MS	 3.96	 7.89	26.79	  6	27198	4
090623082502	D	MS	 4.15	 8.55	29.27	  0	27201	4
090623082743	D	MS	 3.17	 8.66	30.54	  0	27116	4
090623082837	D	MS	 5.74	 8.85	29.14	  0	27122	4
090623083200	D	MS	 2.26	 9.04	32.82	  0	27222	4
090623083302	D	MS	 2.87	 7.93	27.87	  5	26984	4
090623083413	D	MS	 3.32	 8.10	28.17	  4	27033	4
090623083711	E	MS	TOO_HIGH_FAT/SNF
090623083829	D	MS	 3.98	 8.10	27.62	  4	27212	4
090623084026	D	MS	 4.59	 8.38	28.22	  1	27236	4
090623085023	D	MS	 3.30	 7.76	26.83	  7	27013	4
090623085204	D	MS	 3.30	 7.74	26.75	  7	27116	4
090623085313	D	MS	 5.11	 7.84	25.63	  7	27021	4
090623085426	D	MS	 4.16	 9.05	31.27	  0	27224	4
090623085540	D	MS	 3.81	 8.64	29.92	  0	27215	4
090623085631	D	MS	 3.50	 8.48	29.54	  0	27291	4
090623085739	D	MS	 3.94	 8.26	28.29	  2	27025	4
090623090118	D	MS	 3.64	 8.21	28.34	  2	27170	4
090623090741	D	CLN	 0.42	 1.84	 5.57	 73	26870	3
090623091246	C	25
